"Phage","Host","EOP","EOP_bin"
"15-10","37-8",0,"[0,2.22e-16)"
"15-11","37-8",0,"[0,2.22e-16)"
"22-1","37-8",0,"[0,2.22e-16)"
"22-2","37-8",0,"[0,2.22e-16)"
"22-3","37-8",0,"[0,2.22e-16)"
"22-4","37-8",0,"[0,2.22e-16)"
"22-5","37-8",0,"[0,2.22e-16)"
"22-6","37-8",0,"[0,2.22e-16)"
"22-7","37-8",0,"[0,2.22e-16)"
"22-8","37-8",0,"[0,2.22e-16)"
"22-9","37-8",0,"[0,2.22e-16)"
"22-10","37-8",0,"[0,2.22e-16)"
"22-11","37-8",0,"[0,2.22e-16)"
"28-1","37-8",0,"[0,2.22e-16)"
"28-2","37-8",0,"[0,2.22e-16)"
"28-3","37-8",0,"[0,2.22e-16)"
"28-4","37-8",0,"[0,2.22e-16)"
"28-5","37-8",0,"[0,2.22e-16)"
"28-6","37-8",0,"[0,2.22e-16)"
"28-7","37-8",0,"[0,2.22e-16)"
"28-8","37-8",0,"[0,2.22e-16)"
"28-9","37-8",0,"[0,2.22e-16)"
"28-10","37-8",0,"[0,2.22e-16)"
"28-11","37-8",0,"[0,2.22e-16)"
"8-1","37-9",0,"[0,2.22e-16)"
"8-2","37-9",0,"[0,2.22e-16)"
"8-3","37-9",0,"[0,2.22e-16)"
"8-4","37-9",0,"[0,2.22e-16)"
"8-5","37-9",0,"[0,2.22e-16)"
"8-6","37-9",0,"[0,2.22e-16)"
"8-7","37-9",0,"[0,2.22e-16)"
"8-8","37-9",0,"[0,2.22e-16)"
"8-9","37-9",0,"[0,2.22e-16)"
"8-10","37-9",0,"[0,2.22e-16)"
"8-11","37-9",0,"[0,2.22e-16)"
"15-1","37-9",0,"[0,2.22e-16)"
"15-2","37-9",0,"[0,2.22e-16)"
"15-3","37-9",0.024,"[2.22e-16,0.2)"
"15-4","37-9",0.1,"[2.22e-16,0.2)"
"15-5","37-9",0,"[0,2.22e-16)"
"15-6","37-9",0,"[0,2.22e-16)"
"15-7","37-9",0,"[0,2.22e-16)"
"15-8","37-9",0,"[0,2.22e-16)"
"15-9","37-9",0.008,"[2.22e-16,0.2)"
"15-10","37-9",0,"[0,2.22e-16)"
"15-11","37-9",0,"[0,2.22e-16)"
"22-1","37-9",0,"[0,2.22e-16)"
"22-2","37-9",0,"[0,2.22e-16)"
"22-3","37-9",0,"[0,2.22e-16)"
"22-4","37-9",0,"[0,2.22e-16)"
"22-5","37-9",0,"[0,2.22e-16)"
"22-6","37-9",0,"[0,2.22e-16)"
"22-7","37-9",0,"[0,2.22e-16)"
"22-8","37-9",0,"[0,2.22e-16)"
"22-9","37-9",0,"[0,2.22e-16)"
"22-10","37-9",0,"[0,2.22e-16)"
"22-11","37-9",0,"[0,2.22e-16)"
"28-1","37-9",0.5,"[0.4,0.6)"
"28-2","37-9",1.33333333,"[1,Inf)"
"28-3","37-9",0.16666667,"[2.22e-16,0.2)"
"28-4","37-9",0.03,"[2.22e-16,0.2)"
"28-5","37-9",0.15,"[2.22e-16,0.2)"
"28-6","37-9",0.0096,"[2.22e-16,0.2)"
"28-7","37-9",0.0208,"[2.22e-16,0.2)"
"28-8","37-9",0.01866667,"[2.22e-16,0.2)"
"28-9","37-9",0.00352,"[2.22e-16,0.2)"
"28-10","37-9",0.09142857,"[2.22e-16,0.2)"
"28-11","37-9",0.00363636,"[2.22e-16,0.2)"
"8-1","37-10",0,"[0,2.22e-16)"
"8-2","37-10",0,"[0,2.22e-16)"
"8-3","37-10",0,"[0,2.22e-16)"
"8-4","37-10",0,"[0,2.22e-16)"
"8-5","37-10",0,"[0,2.22e-16)"
"8-6","37-10",0,"[0,2.22e-16)"
"8-7","37-10",0,"[0,2.22e-16)"
"8-8","37-10",0,"[0,2.22e-16)"
"8-9","37-10",0,"[0,2.22e-16)"
"8-10","37-10",0,"[0,2.22e-16)"
"8-11","37-10",0,"[0,2.22e-16)"
"15-1","37-10",0,"[0,2.22e-16)"
"15-2","37-10",0,"[0,2.22e-16)"
"15-3","37-10",0,"[0,2.22e-16)"
"15-4","37-10",0,"[0,2.22e-16)"
"15-5","37-10",0,"[0,2.22e-16)"
"15-6","37-10",0,"[0,2.22e-16)"
"15-7","37-10",0,"[0,2.22e-16)"
"15-8","37-10",0,"[0,2.22e-16)"
"15-9","37-10",0,"[0,2.22e-16)"
"15-10","37-10",0,"[0,2.22e-16)"
